Pays,Genre,Age,Desabonnement,CreditScore,Ancienneté,Balance,NbrDeProduit,CarteDeCredit,MembreActif,SalaireEstimé
Germany,Male,37,1,556,9,145019,2,1,0,90928
Spain,Male,34,0,699,8,0,1,1,1,76510
Spain,Female,32,0,708,8,187488,1,1,1,120116
France,Male,35,0,480,2,165693,1,1,1,197985
Germany,Female,59,1,700,5,137648,1,1,0,142977
Spain,Female,47,1,525,6,118560,1,1,0,82523
France,Male,33,0,845,8,164386,1,1,0,150665
France,Male,37,0,613,9,108286,1,1,1,114153
France,Female,34,0,850,2,0,2,1,1,171707
Spain,Female,58,1,798,9,0,2,0,0,119072
Germany,Male,47,1,773,2,118079,4,1,1,143007
Spain,Male,35,0,614,2,127284,1,1,1,31302
Spain,Male,48,0,473,8,0,2,1,0,71140
France,Male,29,0,762,6,141389,1,1,0,54123
France,Male,37,0,701,8,130092,1,1,1,120031
France,Male,35,0,600,4,143745,2,1,0,104077
Spain,Male,28,0,850,9,97408,1,1,1,175854
Spain,Male,30,0,613,9,111927,1,1,1,175796
France,Male,31,0,509,3,0,2,1,0,15361
Spain,Male,38,0,509,2,0,1,0,0,168460
France,Male,34,0,609,1,0,1,1,1,181178
France,Female,33,0,456,1,188286,1,0,0,58364
France,Female,46,1,728,2,109706,1,1,0,20277
Spain,Male,33,0,663,9,0,2,0,0,91515
Germany,Female,34,0,673,1,127123,3,0,1,76703
France,Male,40,0,717,0,98241,1,1,0,110887
Germany,Female,37,0,741,8,170840,2,0,0,109843
Germany,Female,41,1,498,4,87541,2,1,1,12577
France,Female,26,0,850,4,62611,2,0,1,179365
France,Male,36,0,493,9,0,2,1,1,65817
France,Female,47,0,686,5,113329,1,1,0,124171
Spain,Male,35,0,666,2,104832,1,1,0,175015
Spain,Female,31,0,733,9,102290,1,1,1,115442
Germany,Female,34,0,631,6,125228,2,0,1,128247
Germany,Female,49,0,714,5,140511,1,1,0,141915
Germany,Female,35,1,767,6,132253,1,1,0,115567
Germany,Male,43,0,711,2,39043,2,1,1,175424
France,Male,34,0,722,8,0,2,1,1,133447
Spain,Male,55,0,631,9,99685,1,1,0,114475
Germany,Male,38,0,701,3,125385,2,0,1,52045
Spain,Male,46,0,790,2,131365,2,1,1,180291
Spain,Male,58,0,633,6,98309,1,1,1,132034
France,Female,37,0,644,8,0,2,1,0,20969
Spain,Male,44,0,757,5,140856,2,1,0,158735
France,Female,30,0,696,8,0,2,1,1,196134
France,Male,35,0,746,2,172274,1,1,0,22375
Spain,Male,36,0,649,8,0,2,1,0,161668
Spain,Male,38,0,565,0,122448,1,0,0,67339
France,Female,38,1,720,10,0,2,1,1,56230
Spain,Female,56,1,648,6,157560,2,1,0,140991
Germany,Male,41,1,632,3,126551,1,0,0,177645
France,Female,30,1,622,2,158585,3,1,0,142343
France,Male,28,0,835,2,163570,2,1,1,154559
France,Female,31,1,493,3,0,1,1,1,176570
Germany,Female,33,0,785,6,127211,1,0,0,191962
Germany,Male,42,1,681,3,118200,2,1,0,9453
Germany,Female,30,0,621,2,101014,2,1,1,165257
Spain,Male,38,1,756,6,119209,1,1,0,169764
France,Female,66,0,515,6,0,2,1,1,160663
France,Female,58,1,625,10,53773,1,1,1,192072
Spain,Female,39,0,717,6,0,2,1,0,93276
Germany,Female,41,0,595,2,138879,1,0,1,112270
Spain,Female,37,0,539,1,130923,2,0,0,2187
France,Male,35,0,762,9,0,2,1,1,43076
Spain,Male,20,0,706,8,0,2,1,1,12368
Spain,Female,25,0,677,8,130866,1,1,0,42410
Germany,Female,33,0,733,7,187258,1,0,1,190431
Spain,Female,41,0,684,7,0,1,1,1,138394
France,Male,36,0,679,6,147734,1,0,1,172501
Spain,Male,43,0,478,1,0,2,1,1,197916
France,Male,33,0,696,2,163139,1,1,1,7035
Spain,Female,35,0,686,4,0,2,1,1,159677
France,Female,36,0,466,5,119540,1,0,1,80604
France,Female,41,0,686,4,129554,2,1,0,187600
France,Male,55,0,576,9,0,2,1,1,94451
Germany,Female,61,0,763,1,66102,1,1,1,143981
France,Male,43,1,572,2,140432,1,1,0,26451
France,Female,49,0,757,2,0,2,0,0,164483
France,Female,29,0,582,0,0,1,1,1,84013
France,Female,35,0,623,5,0,2,1,0,101192
Germany,Female,37,1,617,4,116471,2,1,0,175325
France,Male,39,0,425,4,0,2,1,0,197226
France,Female,56,1,659,9,123785,1,1,0,99504
France,Female,33,0,605,4,0,2,0,1,83701
France,Female,38,1,538,8,88759,2,0,0,28226
Germany,Male,25,0,665,5,153612,2,1,0,35322
Germany,Female,57,1,491,4,112045,1,1,1,41230
Spain,Female,27,0,726,7,123826,1,0,1,78971
France,Female,65,1,580,9,106804,3,1,0,107891
France,Female,48,0,550,6,0,2,1,1,191870
France,Female,59,1,542,2,68893,2,1,0,7905
France,Female,43,0,732,6,0,2,1,0,65732
France,Female,33,0,473,5,125827,1,0,1,145699
Spain,Male,34,0,745,9,0,2,1,0,50046
France,Male,36,0,732,7,0,2,1,1,60830
Germany,Female,40,0,848,5,148496,1,0,0,158854
France,Male,37,0,572,1,133044,1,0,0,111243
France,Male,45,0,702,9,74990,1,1,1,171015
Germany,Male,39,0,664,7,60263,1,1,0,170835
Germany,Male,50,1,630,3,129371,4,1,1,47775
Germany,Male,44,0,618,5,157956,2,0,0,139298
France,Male,26,0,556,4,0,1,1,0,195167
France,Female,30,0,619,7,70729,1,1,1,160949
France,Male,48,1,644,8,0,2,0,1,44966
Spain,Male,50,0,658,2,0,2,1,0,52138
Spain,Male,27,0,598,8,90722,2,1,0,109296
France,Male,27,0,677,2,0,2,1,1,20093
Spain,Female,45,1,689,0,57784,1,1,0,197804
France,Male,33,0,591,9,131766,1,1,0,118782
France,Male,40,1,699,7,0,1,0,1,152876
Germany,Male,47,1,749,9,110023,1,0,1,135655
France,Female,40,0,709,9,131570,1,1,1,103971
Germany,Male,61,0,607,2,164524,2,1,1,35787
Germany,Female,25,0,650,2,114331,1,1,1,25325
Spain,Female,45,0,651,10,135923,1,1,0,18733
France,Female,61,0,676,8,0,2,1,1,118523
France,Female,49,0,723,4,0,2,0,1,89972
Spain,Male,45,0,714,0,124693,1,0,1,187194
Spain,Female,35,0,759,7,147936,1,1,1,106786
France,Male,29,0,582,0,0,1,1,0,142516
France,Female,34,0,697,2,126559,1,1,0,73334
Germany,Male,57,0,610,6,106938,2,0,1,186612
Germany,Female,33,0,488,4,140002,1,1,0,123614
Germany,Male,46,1,599,9,123445,1,1,1,31368
France,Male,32,0,781,6,147108,1,1,1,40067
France,Male,19,0,645,9,128515,1,0,0,175969
France,Female,55,1,545,5,0,1,0,0,10035
Germany,Female,40,0,597,9,106756,2,1,0,151168
Spain,Female,28,0,561,3,0,2,1,0,191388
France,Female,37,0,662,6,0,2,1,0,51229
Germany,Female,50,1,649,5,155393,1,1,1,87351
France,Female,36,0,630,2,110414,1,1,1,48985
Spain,Male,33,0,672,2,0,2,1,1,182738
Germany,Female,37,0,636,9,157099,1,1,1,153535
Germany,Female,38,0,593,5,85627,1,1,1,125080
Germany,Male,45,0,545,6,93796,2,1,1,162321
Spain,Female,41,0,567,1,0,2,1,0,3415
France,Male,51,0,583,6,125268,2,1,0,165082
France,Female,29,0,681,2,148144,1,1,1,52021
Spain,Male,29,0,762,10,115545,2,1,0,148256
Spain,Male,35,0,648,7,0,2,0,0,122899
France,Male,30,0,644,5,44929,1,1,1,10771
Spain,Male,29,0,706,2,0,2,1,1,18256
France,Male,35,0,850,3,162442,1,1,0,183567
Spain,Female,39,0,484,5,0,2,1,1,175224
Germany,Male,28,0,508,0,96214,2,1,0,147914
France,Female,29,0,439,6,156569,1,1,0,180599
Spain,Male,36,0,484,8,0,2,1,0,186136
Spain,Female,37,0,803,1,0,2,0,0,7455
Germany,Female,48,1,724,6,110463,2,1,1,80552
France,Male,33,1,640,7,154576,1,1,0,25722
Spain,Female,35,0,701,9,0,2,0,0,170997
France,Male,37,0,537,3,0,2,1,1,20603
Germany,Male,26,0,651,5,147037,1,0,0,141763
Germany,Male,41,1,523,0,119276,1,0,0,122284
France,Female,25,0,717,7,108665,2,1,0,190012
Spain,Male,44,0,593,5,0,1,1,0,128047
Germany,Male,38,0,706,5,163035,2,1,1,135662
Germany,Female,49,1,714,4,93059,1,1,0,7572
Spain,Male,38,0,794,9,179581,1,1,0,23596
Germany,Male,46,1,518,4,113626,1,0,0,92727
Germany,Male,55,1,589,7,119961,1,1,0,65157
France,Male,45,0,824,3,129209,1,0,0,60152
Germany,Female,42,1,719,5,137227,3,1,0,149097
Germany,Female,58,1,617,3,119025,2,1,0,35199
France,Male,35,1,651,7,74624,3,1,0,129451
Spain,Female,45,1,637,2,157929,1,1,1,145134
France,Female,26,0,554,7,92607,2,1,0,192710
Germany,Male,35,0,731,2,127863,2,1,0,139084
Spain,Female,42,1,569,1,0,1,1,1,83630
Germany,Female,37,0,625,4,142712,1,1,0,35625
France,Female,38,0,592,4,0,2,1,0,35339
France,Male,43,0,669,1,163160,1,0,1,15603
Germany,Male,32,0,663,3,108587,1,1,1,182355
Germany,Female,41,0,518,5,110625,1,1,0,89328
Germany,Female,43,0,686,5,154846,2,1,1,151904
Germany,Male,45,1,709,4,122918,1,1,1,12
France,Female,33,0,571,9,0,2,0,1,77520
France,Female,31,0,707,2,82788,2,0,0,91424
Germany,Male,32,0,701,5,102500,1,0,0,106288
France,Male,34,0,672,9,0,2,1,0,161801
Germany,Male,39,1,620,9,159493,1,1,0,80582
Spain,Male,48,0,557,10,0,2,1,1,185094
Spain,Female,54,1,648,7,118241,1,1,0,172587
France,Female,35,0,479,2,113090,1,1,0,195650
France,Female,22,0,730,9,65764,1,1,1,145792
Germany,Female,43,1,737,1,125537,1,1,0,138510
France,Male,31,0,616,3,94264,2,1,0,168895
Spain,Male,29,0,639,4,133435,2,1,0,97983
Spain,Female,39,0,815,6,0,1,1,1,85168
Spain,Male,31,0,786,9,0,2,1,1,18210
France,Male,50,0,549,9,94749,2,0,1,13608
France,Female,38,0,622,4,98641,1,1,1,110458
France,Male,26,0,624,9,74682,2,0,0,31231
France,Male,34,0,841,4,0,2,1,0,141583
Spain,Female,41,1,614,7,179916,1,0,0,14666
France,Male,30,0,676,1,128207,1,1,1,55400
France,Male,42,0,697,9,132739,2,0,0,174668
France,Female,40,0,732,10,0,2,1,0,154189
France,Male,27,0,623,4,120510,1,0,0,142170
France,Male,46,0,541,4,124547,2,1,0,94499
Spain,Female,39,0,773,4,0,2,0,1,182081
Germany,Male,34,1,762,4,88816,2,1,0,68562
Spain,Female,35,0,655,1,82232,2,1,0,88798
Germany,Male,32,0,602,7,184716,2,1,0,113782
France,Male,31,0,850,3,0,2,1,0,121867
Spain,Male,51,0,649,4,0,1,1,1,150391
Germany,Male,28,1,850,4,147972,1,1,0,60709
France,Male,43,0,543,9,0,2,1,1,78858
France,Male,52,1,672,8,170009,1,0,0,56407
France,Female,27,0,600,3,0,2,0,1,125699
Spain,Female,34,0,671,10,0,1,1,0,23235
Spain,Female,42,0,706,8,95387,1,1,1,75732
Germany,Male,51,0,541,7,90373,2,1,0,179862
Germany,Male,34,0,711,4,133468,2,1,1,42977
Spain,Male,30,0,630,3,0,2,0,1,10487
France,Male,31,0,531,3,96288,1,1,0,56795
France,Female,26,0,641,4,91548,2,0,1,28157
Germany,Male,37,1,631,8,138293,2,0,0,152423
France,Male,35,0,685,9,0,1,1,0,167034
Spain,Male,32,0,702,8,71668,1,1,1,126082
Germany,Female,43,1,708,0,118995,1,1,0,181500
Spain,Male,55,0,653,7,0,2,1,1,41967
Germany,Male,37,0,654,2,145610,2,0,0,186301
France,Female,33,0,596,1,138163,1,1,0,85413
Germany,Female,31,0,549,9,135020,2,1,1,23343
France,Male,38,0,754,2,0,2,1,0,180698
Germany,Female,25,0,815,8,135162,1,1,1,136071
France,Female,52,1,556,9,0,1,1,0,175149
France,Male,32,0,706,6,94486,1,1,1,146950
France,Male,46,0,850,9,117640,1,1,0,88921
Spain,Female,33,0,732,8,111380,1,1,1,45099
France,Male,40,1,614,6,0,1,1,1,20340
Spain,Female,57,0,580,0,136821,1,0,1,108529
France,Female,46,0,593,7,98753,1,1,0,145560
Germany,Female,25,0,653,2,158266,3,1,1,199357
France,Female,29,0,746,4,105600,1,1,1,43106
France,Female,29,0,662,10,0,2,1,0,137508
France,Male,31,0,573,2,0,2,1,1,91957
Spain,Female,39,0,684,4,139724,1,1,1,120612
France,Female,41,0,793,3,141806,1,1,0,102921
Germany,Female,49,1,798,5,132572,1,1,1,31686
France,Male,40,0,524,2,180517,1,1,0,180002
France,Male,31,0,816,8,0,2,1,1,28407
Germany,Female,41,1,742,4,92806,1,0,1,73744
France,Male,22,1,540,4,0,3,1,1,186233
Germany,Male,39,1,537,3,135309,1,1,0,31729
Spain,Female,74,0,759,6,128918,1,1,1,48245
France,Female,52,1,774,2,56581,1,1,0,113266
Germany,Male,42,0,608,8,131391,2,1,0,71178
Spain,Male,37,0,704,4,0,2,0,0,25685
France,Male,41,0,581,8,0,2,0,0,29737
Germany,Female,61,1,628,1,97362,1,1,1,149922
France,Female,42,1,566,6,0,1,1,0,180702
Spain,Male,59,0,701,7,0,2,0,1,27598
Spain,Male,29,0,735,10,0,2,1,1,95025
France,Female,34,0,680,1,0,2,1,0,167035
France,Male,57,0,560,0,0,2,0,1,116782
Germany,Female,29,0,663,4,102715,2,0,0,21171
France,Female,34,0,665,5,67817,1,1,1,29642
France,Male,51,0,758,8,81710,1,1,1,116520
France,Male,26,0,621,2,75238,1,0,1,44220
Germany,Male,28,0,764,10,124023,1,1,0,166188
Germany,Female,46,1,537,5,100728,1,0,1,140858
France,Female,46,0,589,10,107239,2,1,0,37024
France,Male,24,0,555,5,0,2,1,0,27513
France,Female,29,0,734,0,139995,1,1,0,17745
Spain,Female,59,0,783,9,126225,1,1,1,4424
Germany,Female,51,1,678,1,145751,1,0,0,109718
France,Male,47,1,661,5,0,1,0,1,107243
Spain,Female,25,0,607,4,121167,1,0,1,115288
Spain,Female,38,0,537,1,0,2,0,1,41234
Spain,Male,88,0,513,10,0,2,1,1,52952
France,Male,63,1,576,9,70655,1,0,0,78956
Germany,Male,41,1,660,1,129901,1,1,0,26026
France,Male,40,0,637,8,125471,1,1,1,174536
France,Female,53,1,672,9,169406,4,1,1,147311
France,Male,32,0,629,2,0,2,0,1,77965
Germany,Male,40,0,583,4,107041,1,1,1,5636
Spain,Female,32,0,763,10,95154,1,0,1,81310
Germany,Male,32,0,516,3,145166,2,0,0,111421
France,Female,27,0,617,4,0,2,0,0,190269
France,Male,38,0,700,9,65963,1,1,1,100950
Germany,Male,36,1,727,6,140419,1,1,1,113034
Spain,Female,31,0,689,3,139800,1,0,1,120664
Germany,Male,49,0,626,9,171788,2,1,0,187192
France,Male,38,0,686,6,149239,1,1,1,97825
Germany,Female,57,1,351,4,163146,1,1,0,169622
France,Female,37,1,739,8,0,2,1,0,191557
France,Male,32,0,627,10,0,2,1,0,103288
Germany,Female,38,0,451,9,61482,1,1,1,167539
France,Female,41,1,512,8,145150,1,1,0,64869
France,Female,41,0,774,5,126670,1,1,0,102426
France,Female,40,0,652,8,84391,2,0,1,107876
Germany,Male,37,0,638,2,89729,2,1,1,37295
France,Female,57,0,475,1,0,2,1,0,89249
Spain,Male,40,0,567,4,118629,1,0,0,91974
France,Male,37,0,750,3,0,2,1,0,16870
France,Male,39,0,850,6,96863,1,1,1,121681
France,Female,38,0,753,6,142263,1,0,1,33730
Spain,Female,36,0,683,7,0,2,1,0,104787
France,Female,32,0,710,3,0,1,1,0,94790
Spain,Female,21,0,645,1,0,2,0,0,28726
France,Male,28,0,714,6,122724,1,1,1,67057
Germany,Female,35,0,696,4,174902,1,1,0,69080
Spain,Female,26,0,612,4,0,2,1,1,179781
Germany,Female,31,1,520,3,108914,1,1,1,183572
Spain,Male,23,0,782,10,98053,1,1,1,142587
France,Male,46,0,666,5,123873,1,1,1,177844
Germany,Female,56,1,466,2,111920,3,1,0,197634
France,Female,45,0,567,4,0,2,0,1,121053
France,Male,20,0,613,3,0,2,1,1,149614
France,Male,37,0,718,8,0,2,1,1,143
France,Female,37,1,614,8,75150,4,0,1,131767
France,Male,38,0,711,10,0,2,0,0,53312
Germany,Female,38,0,691,5,114754,1,1,0,107665
France,Male,32,0,527,0,0,1,1,0,109524
France,Female,32,0,476,6,111872,1,0,0,112133
Spain,Female,45,0,619,0,0,2,0,0,113645
Germany,Female,37,0,607,4,135927,1,0,0,180890
Spain,Male,44,0,695,8,0,2,1,1,70974
France,Male,33,0,653,1,0,2,0,0,53380
France,Male,46,0,677,2,57038,1,1,1,158531
France,Female,50,1,655,10,0,4,1,0,179268
France,Female,52,0,625,2,79469,1,1,1,84606
Germany,Female,34,0,679,7,121064,1,1,0,56985
France,Male,51,0,734,1,118537,1,1,1,116912
France,Male,39,0,666,10,0,2,1,0,102999
Germany,Female,26,0,592,4,105082,2,1,0,132802
France,Male,40,1,564,4,0,1,1,0,85456
France,Female,36,0,814,6,0,2,1,1,98657
Germany,Male,36,0,592,2,104703,2,1,0,107949
France,Female,50,1,758,2,95814,3,1,1,67944
Spain,Female,62,0,612,0,167027,2,1,1,192892
Germany,Male,61,1,498,7,102453,1,1,0,187248
Germany,Male,25,0,638,4,148045,2,1,1,114722
France,Male,35,0,558,1,0,2,0,0,111688
France,Female,24,0,756,1,0,2,1,0,184182
Spain,Male,52,1,782,4,0,1,1,1,52760
France,Male,34,0,505,10,104499,1,0,1,126451
Spain,Female,29,0,671,6,0,2,0,0,12049
France,Male,42,0,801,6,0,2,1,1,95804
France,Male,26,0,604,8,149543,2,0,1,197912
France,Female,29,0,716,10,87946,1,1,1,182532
France,Female,45,1,624,3,68640,1,1,0,168002
Germany,Male,47,0,607,4,148826,1,1,1,79451
France,Female,60,0,827,2,0,2,0,1,60616
France,Male,61,0,606,5,108166,2,0,1,8643
Germany,Female,35,0,717,5,103215,1,1,0,172173
Germany,Male,40,1,651,1,134760,2,0,0,174434
France,Male,58,1,691,3,0,1,0,1,194930
France,Female,33,0,573,0,90125,1,1,0,137477
Spain,Male,38,0,723,6,0,2,1,1,94416
Germany,Female,46,1,584,6,87361,2,1,0,120377
Germany,Female,45,1,550,8,111258,1,0,0,97623
France,Female,61,1,611,3,131584,4,0,1,66238
Germany,Male,41,1,549,9,95021,3,1,1,131711
Spain,Female,24,0,850,1,0,2,0,1,69053
Germany,Male,34,0,668,5,80242,2,0,0,56781
France,Female,43,0,686,0,0,1,1,1,170073
France,Male,50,1,660,1,0,3,1,1,191849
Spain,Female,59,0,682,0,122661,1,0,1,84804
France,Male,50,1,524,4,0,2,1,1,31841
France,Female,36,1,645,8,0,2,1,1,12097
France,Male,42,0,850,0,0,2,1,0,44166
France,Female,53,0,537,3,0,1,1,1,91407
Spain,Female,46,0,599,7,81743,2,1,0,83282
Spain,Male,71,1,727,8,0,1,1,1,198447
Spain,Male,30,0,756,2,145128,1,0,0,7555
France,Male,38,0,755,9,148912,1,1,0,80416
Spain,Female,41,0,634,4,0,2,1,1,164550
France,Male,26,0,837,4,89900,2,1,0,175477
Germany,Female,30,0,727,8,119027,2,1,1,137904
Germany,Female,40,0,567,2,105223,2,1,0,93796
Spain,Female,30,1,650,6,0,1,0,0,67997
Spain,Male,34,0,655,1,116115,1,1,1,49492
France,Female,58,0,763,9,187912,1,0,1,35825
France,Female,27,0,843,5,0,2,1,1,67494
France,Female,38,1,667,6,144432,1,1,1,73963
France,Female,50,0,705,4,77066,2,0,1,145159
Germany,Female,29,0,660,6,180520,1,1,1,123851
France,Male,42,0,553,1,0,2,0,0,23822
Germany,Female,47,1,612,6,130025,1,1,1,45750
Germany,Female,40,0,641,2,110087,1,1,0,159773
Spain,Female,31,0,513,5,174853,1,1,0,84239
France,Male,44,0,680,7,108725,1,0,1,72330
France,Male,58,0,711,9,91285,2,1,1,26768
Spain,Male,40,0,689,2,0,2,1,1,164769
Germany,Female,51,1,665,9,110610,2,0,1,1113
Germany,Male,54,1,551,5,102994,1,1,0,176680
Spain,Male,36,0,645,4,59894,2,1,0,44000
Germany,Male,29,0,616,8,149319,1,1,0,140746
France,Female,32,0,582,1,116410,1,0,1,152791
Germany,Male,30,1,365,0,127760,1,1,0,81538
Germany,Female,38,1,697,6,132591,1,1,1,7388
France,Male,31,0,704,0,0,2,1,0,183038
France,Female,46,0,656,5,113402,2,1,1,138849
France,Female,31,0,712,7,0,2,1,0,170333
France,Male,40,0,748,0,0,1,0,0,60417
France,Male,28,0,724,9,0,2,1,1,100240
France,Male,50,0,691,6,136953,1,1,1,2705
France,Male,33,0,563,8,0,2,0,1,68815
France,Male,32,0,741,5,0,1,1,1,64839
France,Male,44,0,778,8,123864,1,1,0,144495
Spain,Male,22,0,848,7,120812,1,1,1,185510
Germany,Male,38,0,634,2,148431,1,1,1,56056
Germany,Male,40,0,505,6,47870,2,1,1,155062
Germany,Male,53,0,692,7,150927,2,0,0,119817
Germany,Female,47,1,537,6,103163,1,1,0,16260
France,Male,29,0,633,10,130206,1,1,0,184655
France,Female,28,0,833,4,136675,2,0,0,5279
Spain,Female,40,0,592,2,200322,1,1,1,113245
Spain,Male,48,0,587,1,0,2,1,1,8908
Spain,Male,62,0,550,7,80928,1,0,1,64491
France,Female,24,1,680,10,0,3,1,0,154972
Spain,Female,41,0,622,9,0,2,1,1,155786
Germany,Male,28,0,594,0,142575,2,1,0,129085
Germany,Female,34,0,643,7,160426,1,0,1,188533
France,Male,25,0,540,5,116160,1,1,0,13412
Spain,Female,34,0,635,5,98683,2,1,0,15733
France,Male,32,0,657,3,118829,2,1,1,73128
France,Male,31,0,814,1,118871,1,1,0,101704
France,Male,32,0,600,1,0,1,1,1,101986
France,Female,46,0,682,2,0,1,1,1,114443
France,Male,38,0,682,4,107192,1,1,1,15669
France,Male,42,0,566,3,108011,1,1,1,157486
Spain,Male,34,0,550,3,0,2,0,0,131281
France,Male,26,0,630,7,129838,2,0,1,197001
Germany,Female,58,1,546,3,106458,4,1,0,128882
France,Male,63,0,486,9,97009,1,1,1,85101
Spain,Male,35,0,762,9,122929,2,0,0,149822
Germany,Male,45,1,692,6,152297,4,0,1,108041
France,Female,30,0,498,1,0,2,0,0,135796
Spain,Male,49,1,850,8,0,1,0,0,25868
France,Male,35,0,603,6,128994,2,1,0,130484
France,Female,36,0,551,5,0,1,1,0,183479
Germany,Male,27,0,627,0,185267,2,1,1,77027
France,Female,28,0,515,9,0,2,0,0,94142
Spain,Female,29,0,605,3,116806,1,0,0,4093
Germany,Male,29,0,567,5,129751,1,1,0,109258
Germany,Female,29,0,568,2,129177,2,0,1,104618
Germany,Male,25,0,571,6,82507,2,1,0,167705
Germany,Male,48,1,634,2,107248,1,1,1,103712
Spain,Female,42,1,768,3,0,1,0,0,161243
Germany,Female,36,0,554,3,157781,2,1,0,6089
France,Male,35,0,629,1,172170,1,1,1,159777
Spain,Male,48,0,638,2,0,2,1,1,7919
France,Male,41,0,576,1,0,1,1,1,188275
Spain,Female,42,1,661,9,75361,1,1,0,27608
France,Female,27,0,592,4,0,2,1,1,183569
Spain,Male,30,0,702,2,0,2,1,1,145537
France,Female,29,0,647,0,98263,2,1,0,164718
France,Male,43,0,593,9,0,2,1,1,76357
Germany,Female,40,1,712,3,109309,2,1,0,120159
Spain,Female,31,0,625,8,0,2,1,0,151844
Germany,Female,28,0,538,6,164365,1,0,1,5699
Spain,Female,22,0,637,5,98800,1,1,0,122866
France,Male,27,0,632,4,193126,1,1,1,152666
France,Male,27,0,736,5,51523,1,0,1,192132
France,Male,23,0,755,5,84284,2,1,1,62852
Spain,Female,39,0,425,5,0,2,1,0,140941
France,Male,51,1,461,9,119890,1,0,0,56768
France,Male,21,0,745,4,137910,1,1,1,177235
France,Female,37,0,616,6,0,2,1,0,86242
France,Male,33,0,587,5,100117,1,1,0,34216
Germany,Male,40,0,850,4,166082,2,0,1,44406
France,Female,38,0,601,0,0,2,1,0,165197
Spain,Male,26,0,730,3,0,1,1,0,34542
France,Male,44,1,532,3,148596,1,1,0,74839
Germany,Male,53,0,850,2,94079,2,1,0,36981
Spain,Female,34,0,779,5,0,2,0,1,111677
France,Male,29,0,562,9,0,1,1,1,25859
Germany,Male,40,1,670,2,164949,3,0,0,177028
France,Female,62,1,729,4,140549,1,1,0,30990
France,Female,44,0,767,2,152509,1,1,1,136915
France,Female,28,1,742,2,191865,1,1,0,108458
France,Female,44,1,669,8,96418,1,0,0,131609
Spain,Male,32,0,542,2,131946,1,0,1,159738
France,Male,29,0,586,3,0,2,1,1,142239
Germany,Male,30,1,612,9,142910,1,1,0,105891
France,Female,37,0,740,7,0,2,1,1,194271
France,Male,35,0,584,3,146312,1,1,1,105443
France,Male,52,1,524,2,87894,1,1,0,173899
France,Female,19,0,614,5,97445,2,1,0,122823
France,Female,64,1,598,9,0,1,0,1,13181
Spain,Male,35,0,799,7,0,2,0,1,140781
France,Male,34,0,724,2,154486,2,0,0,78561
France,Male,50,0,601,2,115625,1,1,0,185855
France,Male,25,0,804,7,108397,1,1,0,128277
Germany,Male,38,0,745,5,65095,2,1,1,140197
Germany,Male,43,1,667,1,103018,1,1,0,32462
France,Female,38,0,518,10,84765,1,1,1,162254
France,Female,38,0,819,10,0,2,1,0,30499
Spain,Female,35,0,520,4,115681,1,1,1,90281
France,Female,39,0,625,5,0,2,1,0,32615
Germany,Male,36,0,673,5,73088,2,0,0,196142
Germany,Female,27,0,656,3,150905,2,1,0,16999
Spain,Female,23,0,850,9,143055,1,0,1,62981
Spain,Female,28,0,574,7,0,2,0,0,185660
France,Male,60,0,679,6,0,2,1,1,77332
Germany,Female,42,0,530,0,99948,1,0,1,97339
France,Male,44,0,508,3,115451,2,0,0,67234
Germany,Male,32,0,558,4,108236,1,1,1,143783
France,Male,38,1,414,8,0,1,0,1,77661
Spain,Male,42,0,648,2,98796,2,1,0,89124
France,Female,37,0,721,1,0,2,1,0,70811
France,Male,31,0,751,8,0,2,0,0,17550
France,Male,34,0,662,2,0,2,0,1,21497
Germany,Male,29,0,628,3,113147,2,0,1,124749
Germany,Female,39,1,597,8,162532,3,1,0,36051
Spain,Female,40,0,698,0,92053,1,1,1,143682
France,Male,48,0,723,7,0,2,1,1,150695
France,Female,28,1,586,5,0,3,1,0,170487
Germany,Female,29,0,633,8,104944,1,1,1,97684
France,Male,31,0,564,4,0,2,1,0,53520
France,Female,31,0,649,2,0,2,1,0,15201
France,Female,30,0,622,4,107879,1,0,1,196895
Germany,Male,46,1,459,7,110356,1,1,0,4969
France,Male,27,0,718,2,0,2,0,0,26229
Spain,Female,34,0,655,4,109784,2,1,0,134034
France,Male,22,0,696,9,149777,1,1,1,198033
France,Female,38,0,637,3,104340,1,0,0,119883
Spain,Female,21,0,630,1,85818,1,1,1,133102
France,Male,37,0,592,4,212693,1,0,0,176395
Germany,Male,37,0,634,1,89697,2,1,1,193180
France,Female,28,0,608,9,0,2,1,1,125062
Germany,Female,32,0,565,9,68067,1,1,0,143288
Spain,Male,67,0,763,9,148565,1,0,1,87236
France,Female,55,0,665,8,136354,1,1,1,93770
France,Male,38,0,649,1,122214,1,0,1,88965
France,Male,45,0,695,3,0,2,1,1,30794
Germany,Male,70,0,775,6,119685,2,1,1,74532
France,Female,39,0,788,3,135139,1,0,1,113086
Germany,Female,42,1,569,9,146101,1,1,0,32574
Spain,Female,56,1,726,8,123111,3,0,1,130114
Germany,Female,44,1,564,3,111760,3,1,1,104722
France,Female,32,0,544,9,110728,1,1,1,14560
France,Female,41,0,614,8,121558,1,1,1,599
Germany,Female,38,0,453,8,120623,1,1,0,129698
France,Female,58,0,471,4,114714,1,1,1,36315
Germany,Female,37,0,829,3,103458,1,0,0,1114
Germany,Male,57,0,754,2,101135,2,1,1,70954
